stars,month,year,sentiment,review
2.0,February,2024,negative,This product it tears away after just flossing you start... all the fiber or threads become open.. i suggest Colgate one which have used for more more than 1yr. Much better than oral b
4.0,February,2024,positive,Good but expensive
5.0,January,2024,positive,"The thread quality is quite good, it's waxed so it easily gets even between the teeths with no space at all.The compact size makes it travel friendly.All in all a good product."
2.0,January,2024,negative,Better than the new released colgate floss but not the best as it frays in tight contact teeth . But colgate has ruined it's quality so this was the better choice . Can do better if the company increases it's quality .
3.0,January,2024,positive,Standard good quality unflavoured floss but it’s too expensive on Amazon.
5.0,January,2024,positive,Very good
3.0,January,2024,positive,Need more strength in the string . It’s easily breaking
5.0,January,2024,positive,Good
2.0,December,2023,negative,"Don't buy unless you want to pay extra Rs 150 import charges. This is imported from UK and hence the price. Buy the Colgate one, it's the same I've used both. This just have the mint flavour in the floss. Does the same job."
3.0,December,2023,negative,"Mint flavor. But the thread gets split after flossing half of my teeth, as if its not strong enough."
