stars,month,year,sentiment,review
5.0,November,2023,positive,Good quality.
1.0,October,2023,negative,"My last Oral B Mint floss lasted me a whole year, where as this floss keeps on disintegrating, either it tears or gets jumbled up, I have no idea how did they ruin something that was so perfect."
5.0,October,2023,positive,Excellent
2.0,October,2023,negative,"Colgate floss which was once better they became worseoral b is also worsefloss is stiff like fishing wire,,gets stuck in between teethpls make good ones"
4.0,October,2023,positive,nice. recommended
1.0,September,2023,negative,The floss is very thin and it is coming as pieces and they are stucking in between teeth.
1.0,August,2023,positive,One year old stock
1.0,August,2023,negative,Regretfully I bought a bunch of these. The floss is wire thin and stiff like fishing wire. If not careful it'll chew your gums to bits. I'll find other uses for it but I don't like it as floss.
5.0,August,2023,positive,It's good
5.0,August,2023,positive,wish the shipping cost was lower. all else great item.
