stars,month,year,sentiment,review
3.0,February,2024,positive,"No idea about ingredients, but no foam as in toothpaste foam is good for us to use it"
1.0,February,2024,negative,"It's been a month now Using this product and teeth are still same colour, yellow.."
5.0,February,2024,positive,Nice product
5.0,January,2024,positive,Just go for it..
3.0,January,2024,positive,Average toothpaste
5.0,January,2024,positive,Just go for it !
1.0,January,2024,negative,I like the Bentodent product but the packaging and delivery of Amazon is Awful.I’m extremely disappointed with Amazon’s careless methods in delivery.
5.0,January,2024,positive,So refreshing
2.0,January,2024,positive,below average
1.0,January,2024,negative,Very dry just like a powder.. so didn’t like much
