stars,month,year,sentiment,review
5.0,December,2023,positive,Best he
5.0,November,2023,positive,I used it and found really it helped in tooth ache
5.0,October,2023,positive,"Amazing product, Sensodyne is a must have paste in your medicine cabinet and travel needs."
4.0,October,2023,positive,Good
2.0,October,2023,positive,Price High
5.0,October,2023,positive,It's a brand
5.0,October,2023,positive,"I was prescribed this by a dentist, this specific variant of Sensodyne. It is effective for my worn gums. I can see improvements in a few weeks of using it."
3.0,September,2023,positive,Price to high
3.0,September,2023,neutral,Koi extra effect mere sensitivity pr nahi hai
4.0,September,2023,positive,Nice
