stars,month,year,sentiment,review
5.0,February,2024,positive,Fast delivery. Good
5.0,February,2024,positive,Money saver
5.0,February,2024,positive,Amazon has good products with fast and amazing delivery ..most important is quality  and reasonable price....Amazon is Amazing!!;
3.0,February,2024,positive,Good
5.0,January,2024,positive,Good
5.0,January,2024,positive,Nice product
5.0,January,2024,positive,Good 😊
5.0,January,2024,positive,Better Tooth paste compared to other ones
5.0,January,2024,positive,I frequently purchase this product as it value for money and best quality.
5.0,December,2023,positive,Nice
