stars,month,year,sentiment,review
5.0,February,2024,positive,Good
5.0,February,2024,positive,Very refreshing. Gives cool and fresh breath every morning.Highly recommended
1.0,January,2024,negative,The product packaging was already opened. Moreover the product was not at its original condition as it should be. This concerns about the originality of the product. This is serious concern as it may affect health which is not acceptable
5.0,January,2024,positive,Affordable and reliable.
4.0,January,2024,positive,Good 👍
5.0,January,2024,positive,Exellent
5.0,January,2024,positive,super fresh breath and white teeth are guaranteed. liked it . will order again.
4.0,January,2024,positive,Good
4.0,January,2024,positive,"Being an established brand ""Colgate"" best choice 😊"
1.0,December,2023,negative,"One 150gm missing, mentioned 2 *150gm but recieved only 1*150 gm"
