stars,month,year,sentiment,review
5.0,January,2024,positive,Recommend by my Dentist after I had Root Canal. It's Really good.
5.0,December,2023,positive,🌟Offer and discount on combo pack colgate salt👌
5.0,November,2023,positive,"Good quality,Low Price and Popular company item for all."
1.0,November,2023,positive,बेकार
5.0,November,2023,positive,Worth to buy
1.0,November,2023,negative,Memu return petaledEndhuku returnTelapandiReturn what problemReturns return return రీటన ఏ౦దుకు ప౦పారు కారణం కావచ్చు లేదా ఇతర రెండు
5.0,October,2023,positive,Jan-Dec
4.0,October,2023,positive,Love this product.
3.0,October,2023,positive,Instead of 200g i think in tube only 100 g materialbis provided
4.0,October,2023,positive,Value for money..
