stars,month,year,sentiment,review
4.0,February,2024,positive,Start morning with it... nice taste and full day freshaness
5.0,February,2024,positive,Very good product
5.0,February,2024,positive,Used again
1.0,February,2024,negative,Don't buy this product this is not Appu the mark the tube has lots of water due to which it is very thin as a result you have to waste your money. I recommend Dabur and Patanjali toothpaste  which is better than this in every respect.
5.0,February,2024,positive,Great product to buy for daily brushing
4.0,February,2024,positive,Good Product at this price..
4.0,January,2024,positive,Ok
5.0,January,2024,positive,Cheap
5.0,January,2024,positive,takes good care of teeth & mouth
5.0,January,2024,positive,Good work morning.
