stars,month,year,sentiment,review
5.0,February,2024,positive,"Best quality natural sls free toothpaste, Thanks to Indian dental Organisation."
4.0,January,2024,positive,Great toothpaste
2.0,January,2024,neutral,No need to waste money on this
1.0,December,2023,negative,My gums started to pain after a week of usage
5.0,November,2023,positive,Best toothpaste no harmful chemicals safe for teeth value for money pure aryuvedic toothpaste
5.0,October,2023,positive,Like the product
4.0,October,2023,positive,Texture is weird. Although is pure and chemical free.
4.0,September,2023,positive,"It's really good, been using for almost 6 months now. Value for money for sure."
5.0,September,2023,positive,Natural toothpaste with no harsh things such as fluoride & sulphites / parabens ..Go for it !
1.0,August,2023,positive,Good taste but cause instant bleeding due large abrasive particles - worse than road side dant manjan powders
