stars,month,year,sentiment,review
4.0,February,2024,positive,Quality is good with freshness but germs cleaning could have been better
5.0,February,2024,positive,Quick delivery in scheduled time. In this price quantities is so good.
2.0,January,2024,neutral,Doesn't feel any difference just bit more mint flavor
5.0,January,2024,positive,Good toothpaste
1.0,January,2024,negative,Expiring is wrong
5.0,January,2024,positive,Faster delivery good product
4.0,January,2024,positive,"It's good toothpaste, but i would suggest you to go for Colgate Sensitive. That contains less harmful chemicals than this one varient."
5.0,January,2024,positive,It is good for cavity and effective.
5.0,January,2024,positive,Best to market price
5.0,December,2023,positive,Good.
