stars,month,year,sentiment,review
3.0,January,2024,positive,Good quality
5.0,January,2024,positive,Perfect
5.0,December,2023,positive,Very good 👍
4.0,September,2023,positive,Soothing
1.0,August,2023,neutral,Not feels fresh after use
5.0,July,2023,positive,Quality is good.Tastes and smells great.Overall satisfied.Highly recommended.
2.0,July,2023,positive,I like it
2.0,May,2023,negative,Couldn't feel fresh
3.0,May,2023,positive,Just an average product…go for other brand.
5.0,November,2022,negative,Must use every night instead of brushing ...Must try
