stars,month,year,sentiment,review
5.0,November,2023,positive,Like 👍 👌 💛 😙 🥰 ☺️ 👍 👌 .
5.0,March,2023,positive,Mouth wash. Satisfied. Thank you amazon.
5.0,January,2023,positive,Good product but price is little higher than local market
4.0,June,2022,negative,I guess it worked idk much about it i just ordered it once and  the only thing i know is my mouth feel cold for some minutes  after using it
4.0,December,2021,positive,Fit for purpose product
3.0,May,2021,positive,Ok
5.0,March,2021,positive,Used it at night and woke up with fresh breath in the morning! Dont think I need to say more.
5.0,November,2020,positive,"This is littlebit extra in colgate's any other mouthwashes, but i don't why amazon selling only one bottle in single order that also after every 4 months, as it is always in shortage. This is the reason i switched over to another brand & i am happy now."
4.0,September,2020,positive,Good one.Go for it
5.0,August,2020,positive,"It's better and stronger than the other Colgate plax products, and doesn't hurt like Listerine"
