stars,month,year,sentiment,review
3.0,February,2024,negative,It's smell is embarrassing
5.0,February,2024,positive,Product as described
1.0,January,2024,negative,Please call. Got duplicate. It's not sealed.Taste n smell is not as I ordered earlier.
5.0,January,2024,positive,Best ever
5.0,December,2023,positive,"Good taste, effective and longer freshness"
3.0,October,2023,positive,Good
5.0,September,2023,positive,I personally like this product it's work good and it's also work in tooth cavity pain totally worth it .and gives u fresh breath
5.0,August,2023,positive,All good
5.0,July,2023,positive,"Idk this ""original"" version of listrine until I tried one recently. Good product compared to the rest but burning sensation is too much (literally like mouth on fire) but have to accept for that effectiveness and freshness."
5.0,July,2023,positive,"Good product, but its a little expensive."
