stars,month,year,sentiment,review
4.0,May,2023,positive,Good product. Does it's job well
3.0,February,2023,positive,Listerine is farr better when it comes to long lasting freshness..maybe bcoz it has alcohol..overall an ok ok product
1.0,January,2023,neutral,"Bad for oral health, don't fall for all this. Educate yourself before using any product"
5.0,December,2022,negative,out of all the flavors this had the maximum discount. i think people stopped buying it because it was expensive
5.0,November,2022,positive,Freshness is good and long
5.0,September,2022,positive,😁😁
4.0,April,2022,positive,Super smeel
3.0,July,2021,positive,Good
5.0,May,2021,positive,Amazing product!! Helped me keep my teeth hygienic and mouth fresh during my braces..
5.0,May,2021,positive,Good
