stars,month,year,sentiment,review
5.0,February,2024,negative,"I have been using it for 1 month, and I can see the difference in the shades of my teeth,Also using it twice a day removes bad odour from mouth and stays longer for hours"
5.0,February,2024,positive,It's really good for yellow teeth but it take 1 week to see results
5.0,February,2024,positive,"This teeth whitening powder is fantastic. I have used whitening strips earlier, which only works only for front teeth, whereas this works for all the teeth"
5.0,February,2024,positive,Jst started to use the product..showing postive results..
5.0,February,2024,positive,its nice for whitening teeth for regular users yet to be check for red teeth of my friend who chews tobacco
5.0,February,2024,positive,Awesome product
5.0,February,2024,positive,"i liked the minty flavour of the product and how well it worked on my teeth, highly recommended for people instead of those whitening toothpastes which do the opposite and make your teeth worse"
4.0,February,2024,positive,Superb product
4.0,February,2024,positive,"I really like this powder, it keeps your mouth fresh and makes us feel fresh. I love the product."
5.0,February,2024,positive,"Buyed presently, used few time, this tastes very good... Lets see the effectiveness after using this for some more time."
