Stars,Month,Year,Sentiment_label,Review_text
3.0,January,2024,neutral,Product is fine I think I have found this toothpaste one in it’s kind that doesn’t have any chemicals in it. But at least use some ayurvedic things in it clove or something more like dant Mannan type
3.0,December,2023,positive,Feels good to use SLS and praben free toothpaste...made my teeth yellow I think
2.0,February,2024,positive,No need to add stevia for sweet taste. This natural sweetener is also recently known for bad health effects. Should remove it as this paste is for health conscious people. Otherwise it is a good alternative for foamy pastes.
3.0,September,2023,negative,"Toothpaste when used in the morning, mouth is fresh for couple of hours and you start feeling as if you didn’t brush for rest of the day ( maybe because of less or no fluoride)It leads to bad breath and smells at times.Heard from a dentist friend that no fluoride toothpaste issues in long term can cause issues.So, I use Meswak during the day and Bentodent in the night before going to bed."
3.0,November,2023,neutral,It is not like a toothpaste
3.0,September,2023,positive,Sensi
2.0,December,2023,negative,Not effective only taste goodTeeth colour changes to yellow
3.0,July,2023,negative,"This toothpaste is healthy but not easy to use, it's too dry due to that it's not sticking to our brush it's getting fall down while brushing end of the result we have to brush without paste 😔"
2.0,November,2023,neutral,Not like the scent and taste also so no one using in my home except me because i brought tHis... 😅
2.0,December,2023,negative,Taste is not good. Moreover freshness stays 2-3 hours only.
3.0,August,2023,neutral,"Useless paste, Don't buy this"
1.0,January,2024,positive,
3.0,April,2023,neutral,It should be little more smooth and soft.
1.0,December,2023,positive,Main use Kiya one month only night kyunki eh toothpaste morning kilye nehi hai?
3.0,February,2023,negative,"Cheap packing.Waste of money, don't buy this product ."
3.0,January,2023,neutral,U will not get the freshness u want .... I don't recommend this product
2.0,May,2023,negative,"The freshness after you brush is missing in it I can feel dirty teeth and bad ardour after sometime. Just knowing that there is no chemical is not enough, the soul purpose of the toothpaste is missing 😕 😢 😔 💔."
3.0,May,2022,neutral,I like this paste coz it has no fluoride. It's not foamy but alright by me. However I hv problem with the tube neck. It always break on pressure as we push the paste out. So it leaks from the crack. I advice company to make better quality tube.
1.0,October,2023,negative,"Doesn't serve the purpose, after using 1 week, teeth sensitive increased and cleaning also not satisfactory. Do not recommend this toothpaste to anyone."
3.0,January,2022,negative,"My kids dislike it for its bad taste. It's not clear whether the Toothpaste would be applied using a brush or a naked finger. Anyway, I am not happy with the product discontinued. Not recommend."
2.0,March,2023,neutral,Doesn't even feel like a toothpaste. Used 2 toothpastes. I will bot go for it again. Recommending others also not to fall for gimmick
3.0,March,2022,negative,paste quality is good but tube quality is worst . one my tube neck broke when half paste paste was still in the tube. please improve the tube quality.
3.0,July,2021,negative,Using from few weeks. Paste seems to be good but tube quality is really horrible. Both of the tube's neck broke up automatically. Now pastes are drying up. This problem is not faced by me only but others also who bought.
1.0,September,2023,negative,Add more cardmom to your cardmom flavoured toothpaste and add more mint to your menthol toothpaste  . Otherwise it’s just a waste of money. Very minor smell of cardmom or mint
1.0,November,2023,negative,Packet torn and part missing
1.0,September,2023,negative,Mint flavoured toothpaste was missing inside the individual packing.
1.0,October,2023,neutral,Please don't buy in Amazon
1.0,April,2023,negative,It seems to have dust particles in it. when one brushes one can feel the dust type particles in the mouth. It gives very unpleasant feeling and may also damage the enamel of the Teeth.  I have stopped using it and strongly not recommended.
1.0,June,2023,positive,Don't buy such things as this is just a trick to attract.. It's better to use regular one instead of wasting money.
2.0,October,2022,neutral,Not feeling fresh after using
3.0,April,2021,negative,"Tube breaks they havelowered the build quality, using from long time but now not happy"
1.0,June,2023,negative,"go for any other natural paste. this is tally tasteless, resultless. dont get trapped."
1.0,November,2021,negative,I'm a regular user of this toothpaste but each time the tube cracks after using it for few days. Initially thought maybe the tube cracked due to my fault but each time it continues to happen then I understood the quality of tube is not good. We are paying way more price than regular paste... Why can't the company maintain a minimum standard in its packaging? Even though these many people have raised their concern about tube... They are not making any change!
1.0,March,2023,negative,Toothpaste is of bad quality. I do not feel freshness in breadth n cleanliness of teeth after using this. I stopped using post 2-3 days
2.0,September,2022,positive,Need to improve
3.0,April,2021,positive,Fresh
1.0,February,2023,positive,Very Very Very Lousy Experience. Very Harsh on Teeth. Weakens enamel coating. Waste of money toothpaste. Disgusting experience.
1.0,April,2023,neutral,"Iska foam nahi hoti,aur mittiJaisa lagti hain"
1.0,May,2023,negative,Don't buy for whitening teeth...
3.0,January,2020,positive,ok
1.0,September,2022,negative,Not good . I didnt like it
1.0,January,2023,positive,Total waist of money
1.0,January,2023,positive,Super flavour
1.0,October,2021,negative,Doesn't give you the fresh brushing effect. Too expensive.
1.0,April,2021,negative,This toothpaste got dry inside & gave me yellowish teeths
1.0,July,2021,neutral,Don't waste your money on this product.
1.0,May,2020,positive,Pathetic product
1.0,January,2023,neutral,Been using this for about 2and half months me and my partner got cavity not very serious we noticed it early pls don't buy
2.0,October,2021,positive,"It feels like it is not a paste, made of some sort of sand or clay but tooth feels soft n shiny n smells good."
3.0,June,2022,positive,They are really good just bit costly.
3.0,February,2022,neutral,I really liked the mint charcoal.. not this one ...
