Stars,Month,Year,Sentiment_label,Review_text
3.0,February,2024,positive,Good
3.0,September,2023,positive,Good for cleaning the teeth
3.0,February,2023,neutral,"Is it original pack or duplicate, since I am not seeing the aluminium sheet packing on the paste coming area."
1.0,October,2023,negative,Product box was delivered in seal opened and damaged condition.
3.0,July,2022,positive,Product is genuine and authentic from sensodyne brand and seller. I recommend this product.
3.0,July,2022,neutral,Not satisfied with packaging.... Not problems regarding the product
2.0,April,2023,positive,Other flavour are better
1.0,October,2023,positive,
3.0,March,2022,positive,Good
3.0,March,2022,positive,Good
2.0,July,2022,negative,"Worst toothpaste,  facing issue after usage. Gum problems and cool sensitivity have increased. Before i never had faced such an issue. Will never recommend this one."
1.0,August,2023,positive,
3.0,August,2021,positive,Price is too high as per quality
3.0,November,2021,positive,Like
3.0,September,2021,positive,I think copy p
1.0,July,2023,neutral,Waste products pls don't buy
3.0,September,2021,positive,it's ok
3.0,September,2021,positive,Like
3.0,August,2021,positive,Good
2.0,September,2022,negative,Dislike
3.0,March,2021,negative,Like it sofar.
1.0,May,2023,negative,V bad product.
1.0,March,2023,negative,Products are mismatched with order and packing was very worst.
3.0,March,2020,negative,Product is damage..Need to replace or refund.
1.0,October,2021,negative,"The seal is broken!!  This is not trust worthy, you mention buy 2 get 1 free and then break the box seal and put random toothpaste into the package , this is not acceptable!Great dislikes, I am sceptical to use this as well,need a return"
1.0,February,2022,positive,
1.0,January,2022,negative,"I have been trying to buy this item for the past 2months and product is now available to buy. But expiry date is March 2022.it is having 3toothpastes, one person can use this for min 6months. Its not a good thing to deliver this kind of products with upcoming expiry date"
2.0,April,2021,negative,Recent this product very Bad quality
3.0,March,2020,positive,Good
3.0,March,2020,positive,Ok
3.0,January,2020,positive,Good one
3.0,January,2020,positive,Good
2.0,July,2021,negative,Seal was broken
3.0,November,2019,positive,Nice
1.0,July,2022,positive,
1.0,January,2022,positive,
2.0,June,2021,positive,Good
1.0,July,2022,negative,It is too much air in toothpaste. It is bad quality.
2.0,April,2021,negative,Product is broken
1.0,October,2019,positive,"The product is good but buy this locally not from here.I received the box with broken seal, and to top it off the ""most customer centric company on Earth"" suggested me to accept it since the product is not damaged ""just a broken seal"""
2.0,July,2020,positive,Ok type
1.0,June,2022,positive,
1.0,May,2021,negative,I can see the price has dropped by ₹60 so it’s useless to buy at a high price
1.0,June,2021,positive,Only 2x150g received instead of 3...Ordered because buy 2 get 1 ... But received only 2..
1.0,April,2022,negative,Fake product . Don't purchase it. Waste of money
1.0,October,2021,negative,Upto last i m satisfied with is quality. But this quality is doubtful is it original or not.
2.0,February,2020,positive,Great
1.0,August,2021,positive,I think individual packing of material of master packing
2.0,May,2019,negative,Taste seems differrnt
1.0,August,2021,positive,
1.0,September,2021,neutral,Not flavor not West money
1.0,August,2021,negative,Damage the product don't but it
1.0,January,2022,positive,The seal is open..
1.0,August,2021,negative,Damaged product received
1.0,August,2021,positive,Seal is open
1.0,July,2021,negative,Not good Qulatiy
1.0,May,2021,negative,Bad.
1.0,June,2021,negative,Very bad product
1.0,November,2021,neutral,Iam not interested
1.0,December,2019,negative,Descrepancy in one packet.Instead of Three sensodyne tooth pastes only two were present and one is missing.
1.0,November,2021,negative,Not good
1.0,October,2020,neutral,Only Advertising ....Not Useful...
1.0,December,2022,negative,How come the product with MRP 398/-being sold at 440/-?? You can see the MRP in the pic. Pure cheating
1.0,November,2021,positive,Buy this if and only if you want to use this brand's fan. Quality is ok ok. But absolutely negative value for money. Rs.133 for 150g is not a good deal with adjustable paste quality. It has has Wired mint flavour.
1.0,July,2021,negative,Low quality product West of money expensive product.  Bad quality product not valid with quality bad bad bad bad bad
1.0,November,2019,negative,I ordered buy 2 get 1 free pack only But in this pack we got only 2 pieces of out 3  .we received the develivery packet with opened .I am fully dissatisfied with this
1.0,November,2019,negative,"Valued item,but damaged."
2.0,October,2021,negative,"I have bought it twice and both the times the company seal on the packet from both sides were broken. Then white tape was used to stick the box. First time, I thought it might have been a genuine mistake but same thing happened the next time as well. WHY?"
1.0,September,2021,negative,tooth sensitive is not curable in mentioned advertisement.its all fake but price is too high.Colgate tooth powder is curable within two days.
1.0,April,2021,positive,Duplicate product
1.0,April,2021,positive,Duplicate product
1.0,May,2021,positive,Duplicate product
1.0,February,2021,negative,Bad experience
1.0,June,2021,neutral,"Duplicate product, it doesn't work as original sensodyne."
1.0,July,2023,negative,"Seal is looklike duplicate and tampered, box packing graphics seems dull and light, should be investigated for a fake product"
1.0,January,2020,neutral,"This is not orijinal, this is dupelicate product"
1.0,April,2023,positive,Duplicate product
1.0,February,2022,negative,I thought this is a fake product .I was looking into all the reviews earlier...most of them already said received with broken seal still I was purchased because I believe Amazon but totally disappointed never expected this 😞 Please don't buy.
1.0,April,2021,negative,"received duplicate toothpaste, totally waste."
1.0,April,2021,neutral,It is not original product
1.0,August,2021,negative,Waste of money
2.0,June,2021,negative,These aren't the original sysodine toothpaste.Effectiveness on sensitive teeth isn't the same it used to be.Buy from local shop!
1.0,September,2021,negative,This product is duplicatr
1.0,November,2021,negative,When I received this product.. Seal is already broken... And it's taste very bad.. It's not effective and it's very worse quality...
1.0,November,2023,negative,This not sensodyne it’s a fake product I have been using this for past 30 years from UK to another 16 countries hence I can tell the difference and further all sensdyne paste have silver foil this dose not
1.0,June,2023,negative,"Seal is tampered, box packing graphics seems dull and light, should be investigated for a fake product"
