stars,month,year,sentiment,review
4.0,October,2023,positive,Good
5.0,October,2023,negative,It's a brush.
4.0,October,2023,positive,Good content
5.0,August,2023,positive,It is a good brush. It lasted for close to 3 months before it deformed and I had to buy a new one. It is soft and the grip of the handle is very good.
5.0,July,2023,positive,Nice grip
1.0,July,2023,negative,This happens just in 2 wks
4.0,June,2023,positive,Hard
5.0,May,2023,positive,Very good item I liked it very much. Highly satisfied.
5.0,April,2023,positive,Comfortable
5.0,February,2023,positive,Good product.
