stars,month,year,sentiment,review
2.0,February,2024,negative,"It flares very fast, say, after a month or two, so there is no point in using this product, as there is no value for money, a toothbrush should last atleast 3 months"
1.0,February,2024,negative,"Do not buy it even if was given for free, it hurts mouth and gums. Even after 3 hours I still feel it! One toothbrush costs around 20 rupees, and I have used toothbrushes that this cheap from local brands and even the one Colgate gives for free with toothpaste. Nothing was bad than this.The hard bristles literally impales cheek tissues and gums, horrible horrible stuff, I'm throwing this away in trash."
4.0,February,2024,positive,It's good for teeth 👌
1.0,January,2024,negative,"1)The product name shows multicolour soft toothbrush2)But on arrival i discovered that its not multicolour but ""medium"" is printed in the pack at the bottom3)During the use i found its too hardMust never buy such products that can fool customers"
5.0,January,2024,positive,Good
5.0,January,2024,negative,Brushing now can be zig zag and painless.
5.0,December,2023,positive,Price worthy
3.0,December,2023,positive,"The product is obviously good. But it was delivered without any outer packaging. Since the toothbrushes are meant to be for oral hygiene, it was extremely unpleasant to see it delivered as is. I expected it to be properly packed"
1.0,November,2023,negative,Not good
5.0,November,2023,positive,Extraordinary Fantastic Mind-blowing product
