stars,month,year,sentiment,review
5.0,February,2024,positive,Excellent item. Prompt delivery.
3.0,February,2024,negative,"Out of the 3 brushes , the bristles of only 1 turns out ultra smooth. Remaining 2 are invariably medium to hard. I realised it after buying it a couple of times. Clever way of cheating customers......"
5.0,January,2024,positive,Very good
5.0,January,2024,positive,Very happy
3.0,December,2023,positive,Price
5.0,November,2023,positive,I like it very well because the brush is very soft and cleanse very well. Thanks for the manufacturer
5.0,November,2023,negative,I got what I ordered
5.0,October,2023,positive,As expected it was really nice
5.0,October,2023,positive,soft
5.0,October,2023,positive,Good quality
