stars,month,year,sentiment,review
1.0,February,2024,negative,Not worth the quality.
1.0,February,2024,negative,Brush looks beautiful but the quality is very poor. The bristles are extremely hard.
5.0,January,2024,positive,Best price with good quality
2.0,January,2024,negative,After first use Brussels became hard.
1.0,January,2024,negative,Better to use it to scrub wash basin. It's going to scrub off the enamel of your teeth. And it's called soft in description. Wastage of money
5.0,January,2024,positive,Very nice & soft it’s really good
1.0,December,2023,negative,Waste of moneyQuality bad
1.0,December,2023,neutral,Not soft. Hard
3.0,November,2023,positive,Average product.
3.0,November,2023,neutral,"I want super soft brush, with plain shape, not JigJag"
