stars,month,year,sentiment,review
1.0,February,2024,neutral,don't order it. If really care about your teeth
3.0,February,2024,positive,Everage
5.0,February,2024,positive,Good product
5.0,February,2024,positive,Ok.
3.0,February,2024,positive,This brush has hard bristle but quality of the product is good but I can't recommend for everyone.
5.0,February,2024,positive,Nice product
1.0,February,2024,negative,Poor quality plastic and hard bristles.
1.0,January,2024,positive,Hard brush it hurts mouthNot recommendedWrost purchase ever
1.0,January,2024,negative,Hard bristles toothbrush not made for Human being.Very poor quality
4.0,January,2024,positive,Nice toothpaste
