stars,month,year,sentiment,review
5.0,January,2024,positive,These are best in this price range
4.0,January,2024,positive,Extra soft amazing
5.0,August,2023,positive,Very nice toothbrush.
4.0,April,2023,positive,Good product
2.0,January,2023,positive,Too costly
5.0,November,2022,positive,Very soft bristles
5.0,April,2022,positive,Soft and value for money
5.0,February,2022,neutral,"Have used multiple brands, but after getting this I realized, no one is better than this in every aspect."
5.0,January,2022,positive,Must buy
4.0,December,2021,positive,Like product softness
