stars,month,year,sentiment,review
1.0,February,2024,negative,Cannot use it more than twice even after full charge...and the product is non returnable too..!
5.0,February,2024,positive,good product
4.0,February,2024,positive,Easy to use
5.0,February,2024,positive,I’ve had this toothbrush since 2020! Still works amazing. Recommend this to everyone!
1.0,February,2024,negative,Charger not working..useless product
5.0,February,2024,positive,Cleans teeth very efficiently
5.0,January,2024,positive,Good
5.0,January,2024,positive,Good product for daily use
1.0,January,2024,negative,It’s not working anymoreI dunno why
1.0,January,2024,negative,Been less than 2 months and i m not able to charge it. Can smone suggest how to handle this issue
